AGS,Name,2020,2019,2018,AGS2
09183115,Egglkofen,42.7,43.3,43.7,9183115
09183116,Erharting,46.9,46.7,46.5,9183116
09183118,Garsa.Inn.M,43.4,43.5,43.3,9183118
09183119,Haagi.OB.M,44.3,44,44,9183119
09183120,Heldenstein,43.2,43,43.1,9183120
09183122,Jettenbach,46.1,46.2,46,9183122
09183123,Kirchdorf,43,42.7,41.9,9183123
09183124,Kraiburga.Inn.M,45,44.8,44.5,9183124
09183125,Lohkirchen,41,40.8,40.6,9183125
09183126,Maitenbeth,42.7,42.4,42,9183126
09183127,Mettenheim,41.7,41.5,41.2,9183127
09183128,Mühldorfa.Inn.St,43.5,43.3,43.3,9183128
09183129,Neumarkt-SanktVeit.St,44.4,44.4,44.5,9183129
09183130,Niederbergkirchen,43.8,43.7,43.8,9183130
09183131,Niedertaufkirchen,42.4,42.8,42.3,9183131
09183132,Oberbergkirchen,42.2,41.7,41.8,9183132
09183134,Oberneukirchen,41.9,42.1,41.8,9183134
09183135,Obertaufkirchen,42.4,42.2,42.1,9183135
09183136,Polling,45.6,45.3,44.7,9183136
09183138,Rattenkirchen,43.5,43.5,43.5,9183138
09183139,Rechtmehring,41.8,41.7,41.6,9183139
09183140,Reichertsheim,41.7,41.7,41.5,9183140
09183143,Schönberg,41.2,40.6,40.4,9183143
09183144,Schwindegg,45,44.9,44.8,9183144
09183145,Taufkirchen,43.7,43.3,43.3,9183145
09183147,Unterreit,43.4,43.4,43.6,9183147
09183148,Waldkraiburg.St,44.3,44.5,44.4,9183148
09183151,Zangberg,45,45.1,44.8,9183151
09184112,Aschheim,41.6,41.3,41,9184112
09184113,Baierbrunn,42.4,42.4,42,9184113
09184114,Brunnthal,43,42.7,42.3,9184114
09184118,Feldkirchen,40.2,40,39.6,9184118
09184119,Garchingb.München.St,41.1,40.7,40.6,9184119
09184120,Gräfelfing,44.7,44.4,44.3,9184120
09184121,Grasbrunn,42.9,42.4,42.3,9184121
09184122,Grünwald,46.2,46,46.1,9184122
09184123,Haar,43.8,43.6,43.3,9184123
09184127,Höhenkirchen-Siegertsbrunn,42.3,42.1,41.8,9184127
09184129,Hohenbrunn,44.3,44.1,43.8,9184129
09184130,Ismaning,43.3,43.1,43,9184130
09184131,Kirchheimb.München,45.4,45.1,44.9,9184131
09184132,Neuried,44.1,43.7,43.5,9184132
09184134,Oberhaching,44.4,44.1,44.1,9184134
09184135,Oberschleißheim,43.6,43.5,43.5,9184135
09184136,Ottobrunn,44.1,44,44,9184136
09184137,Aying,41.1,41.1,40.8,9184137
09184138,Planegg,45,44.9,44.7,9184138
09184139,Pullachi.Isartal,45.3,45,45,9184139
09184140,Putzbrunn,44.7,44.3,44,9184140
09184141,Sauerlach,43.2,43,42.7,9184141
09184142,Schäftlarn,44.9,44.8,44.5,9184142
09184144,Straßlach-Dingharting,43.8,43.8,43.6,9184144
09184145,Taufkirchen,45.9,45.8,45.6,9184145
09184146,Neubiberg,41,40.7,40.6,9184146
09184147,Unterföhring,41.1,40.9,40.7,9184147
09184148,Unterhaching,44.7,44.7,44.9,9184148
09184149,Unterschleißheim.St,43.2,43,42.8,9184149
09185113,Aresing,43,43,42.7,9185113
09185116,BergimGau,41.1,41,40.9,9185116
09185118,Bergheim,43.5,43.8,43.7,9185118
09185123,Brunnen,42.2,42.3,41.9,9185123
09185125,Burgheim.M,44.7,44.7,44.3,9185125
09185127,Ehekirchen,42.4,42,41.9,9185127
09185131,Gachenbach,42,41.9,41.8,9185131
09185139,Karlshuld,42.5,42.3,42.3,9185139
09185140,Karlskron,43,42.7,42.3,9185140
09185143,Langenmosen,42,41.9,41.6,9185143
09185149,Neuburga.d.Donau.GKSt,43.6,43.4,43.3,9185149
09185150,Oberhausen,41.7,41.7,41.4,9185150
09185153,Rennertshofen.M,44.5,44.4,44.3,9185153
09185157,Rohrenfels,42,42,42.1,9185157
09185158,Schrobenhausen.St,44.5,44.5,44.3,9185158
09185163,Königsmoos,41.3,41.3,41.4,9185163
09185166,Waidhofen,42.8,42.6,42.8,9185166
09185168,Weichering,43.8,43.7,43.2,9185168
09186113,Baar-Ebenhausen,44.3,44.6,44.4,9186113
09186116,Ernsgaden,42.3,42.3,42.5,9186116
09186122,Geisenfeld.St,41.9,41.8,41.6,9186122
09186125,Gerolsbach,42.2,42.1,42.2,9186125
09186126,Hettenshausen,42.4,42.3,41.8,9186126
09186128,Hohenwart.M,43.1,43.1,43.1,9186128
09186130,Ilmmünster,43.4,43.3,43.1,9186130
09186132,Jetzendorf,43,42.6,42.5,9186132
09186137,Manching.M,42.5,42.4,42.4,9186137
09186139,Münchsmünster,43.3,43.2,43,9186139
09186143,Pfaffenhofena.d.Ilm.St,43.7,43.5,43.4,9186143
09186144,Pörnbach,42.4,42.3,41.6,9186144
09186146,Reichertshausen,43.6,43.7,43.9,9186146
09186147,Reichertshofen.M,43,42.8,42.8,9186147
09186149,Rohrbach,42.3,41.8,41.8,9186149
09186151,Scheyern,43.8,43.6,43.8,9186151
09186152,Schweitenkirchen,42,41.9,41.9,9186152
09186158,Vohburga.d.Donau.St,42.2,42.1,42,9186158
09186162,Wolnzach.M,43.1,43.1,43.3,9186162
09187113,Amerang,44.4,44.2,44,9187113
09187114,Aschaui.Chiemgau,49.4,49.3,49.1,9187114
09187116,Babensham,41,41,41.1,9187116
09187117,BadAibling.St,45.5,45.3,44.9,9187117
09187118,Bernaua.Chiemsee,46.1,46.1,45.8,9187118
09187120,Brannenburg,45,44.7,44.4,9187120
09187121,Breitbrunna.Chiemsee,47.8,47.5,47.8,9187121
09187122,Bruckmühl.M,44.2,44,43.8,9187122
09187123,Chiemsee,53.1,51.8,51.3,9187123
09187124,Edling,43.2,43,42.7,9187124
09187125,Eggstätt,46,45.6,45.6,9187125
09187126,Eiselfing,42.3,42.2,42.5,9187126
09187128,BadEndorf.M,44.7,44.6,44.3,9187128
09187129,BadFeilnbach,44.2,44,43.9,9187129
09187130,Feldkirchen-Westerham,44.9,44.7,44.6,9187130
09187131,Flintsbacha.Inn,44,43.9,43.4,9187131
09187132,Frasdorf,42.8,42.4,42.3,9187132
09187134,Griesstätt,40.5,40.1,40.1,9187134
09187137,Großkarolinenfeld,43.4,43.1,42.9,9187137
09187138,Gstadta.Chiemsee,46.7,46.8,46.4,9187138
09187139,Halfing,44.3,43.9,43.6,9187139
09187142,Schechen,42.8,42.9,42.5,9187142
09187145,Höslwang,43.5,43.8,43.5,9187145
09187148,Kiefersfelden,47.5,47.4,47.3,9187148
09187150,Kolbermoor.St,44.7,44.5,44.3,9187150
09187154,Neubeuern.M,44.4,44,43.9,9187154
09187156,Nußdorfa.Inn,45.5,45.5,45.3,9187156
09187157,Oberaudorf,47.2,47.2,47.1,9187157
09187159,Pfaffing,43.3,43.1,42.5,9187159
09187162,Priena.Chiemsee.M,48,47.8,47.7,9187162
09187163,Prutting,42,41.6,41.3,9187163
09187164,Ramerberg,42.3,42.5,42.3,9187164
09187165,Raubling,44.9,44.5,44.3,9187165
09187167,Riedering,44.3,44,43.7,9187167
09187168,Rimsting,46.7,46.5,46.6,9187168
09187169,Rohrdorf,43.4,43.3,43.2,9187169
09187170,Rotta.Inn,42.5,42.3,42.3,9187170
09187172,Samerberg,44.1,44.3,44.2,9187172
09187173,Schonstett,40.8,41.2,41.2,9187173
09187174,Söchtenau,43.5,43.1,43,9187174
09187176,Soyen,45.5,45.6,45.4,9187176
09187177,Stephanskirchen,45.1,45.1,44.9,9187177
09187179,Tuntenhausen,41.5,41.5,41.3,9187179
09187181,Vogtareuth,42,42.1,41.6,9187181
09187182,Wasserburga.Inn.St,44.4,44.5,44.3,9187182
09187186,Albaching,40.8,40.7,40,9187186
09188113,Berg,45.2,44.8,44.5,9188113
09188117,Andechs,42.8,42.3,42.1,9188117
09188118,Feldafing,48.2,48.3,48.2,9188118
09188120,Gauting,44.9,44.6,44.4,9188120
09188121,Gilching,43.6,43.4,43.1,9188121
09188124,Herrschinga.Ammersee,46.8,46.4,46.1,9188124
09188126,Inninga.Ammersee,44.9,44.6,44.6,9188126
09188127,Krailling,46.8,46.6,46.6,9188127
09188132,Seefeld,45.3,45,45.1,9188132
09188137,Pöcking,47.2,47,46.6,9188137
09188139,Starnberg.St,45.5,45.2,45.1,9188139
09188141,Tutzing,47.1,46.9,46.7,9188141
09188144,Weßling,44.3,44.2,44.1,9188144
09188145,Wörthsee,45.8,45.3,44.7,9188145
09189111,Altenmarkta.d.Alz,45,45,44.6,9189111
09189113,Bergen,48.1,48,47.7,9189113
09189114,Chieming,45.7,45.3,44.9,9189114
09189115,Engelsberg,43,42.5,42.2,9189115
09189118,Fridolfing,43.5,43,43,9189118
09189119,Grabenstätt,46.5,46.6,46,9189119
09189120,Grassau.M,46,45.9,45.8,9189120
09189124,Inzell,47.2,46.9,46.8,9189124
09189126,Kienberg,43.5,43,42.7,9189126
09189127,Kirchanschöring,42.5,42.3,41.7,9189127
09189129,Marquartstein,48.9,48.7,48.6,9189129
09189130,Nußdorf,46,45.7,45.7,9189130
09189133,Obing,43.4,43.5,43.4,9189133
09189134,Palling,43.1,43.3,43.1,9189134
09189135,Petting,43.6,43.5,43.3,9189135
09189137,Pittenhart,42.7,43,42.8,9189137
09189139,ReitimWinkl,49.4,49.4,49.2,9189139
09189140,Ruhpolding,48.1,47.9,47.8,9189140
09189141,Schleching,49,49.3,49.5,9189141
09189142,Schnaitsee,43.5,43,42.7,9189142
09189143,Seeon-Seebruck,46.3,45.9,45.6,9189143
09189145,Siegsdorf,46.5,46.4,46,9189145
09189146,Staudach-Egerndach,45.8,45.2,44.6,9189146
09189148,Surberg,43.5,43.1,43,9189148
09189149,Tacherting,43.9,43.7,43.7,9189149
09189150,Tachinga.See,44.2,44.1,44.1,9189150
09189152,Tittmoning.St,44.6,44.6,44.5,9189152
09189154,Traunreut.St,44.8,44.9,44.8,9189154
09189155,Traunstein.GKSt,44.8,44.7,44.6,9189155
09189157,Trostberg.St,45.9,46,46,9189157
09189159,Übersee,45.2,45,44.8,9189159
09189160,Unterwössen,48.8,48.3,48.3,9189160
09189161,Vachendorf,44.5,44.2,43.9,9189161
09189162,Waginga.See.M,44.5,44.4,44.2,9189162
09189165,Wonneberg,41.4,41.1,40.9,9189165
09190111,Altenstadt,44.8,44.5,43.8,9190111
09190113,Antdorf,41.4,41.2,41,9190113
09190114,Bernbeuren,43.6,43.5,43.3,9190114
09190115,BernriedamStarnbergerSee,44.9,44.6,44.5,9190115
09190117,Böbing,42,41.5,41.3,9190117
09190118,Burggen,42.7,42.6,42.2,9190118
09190120,Eberfing,42.2,42.2,42.1,9190120
09190121,Eglfing,42.7,42.5,42.1,9190121
09190126,Habach,41,40.8,40.2,9190126
09190129,Hohenfurch,43.3,43.2,43.4,9190129
09190130,Hohenpeißenberg,47.2,47,46.9,9190130
09190131,Huglfing,43,42.8,42.5,9190131
09190132,Iffeldorf,44.6,44.4,44.3,9190132
09190133,Ingenried,41.3,40.7,40.5,9190133
09190135,Oberhausen,45.3,45,44.6,9190135
09190136,Obersöchering,41.4,41,40.6,9190136
09190138,Pähl,44.7,44.5,43.5,9190138
09190139,Peißenberg.M,44.7,44.6,44.4,9190139
09190140,Peiting.M,46.1,46.1,46,9190140
09190141,Penzberg.St,44.9,44.8,44.7,9190141
09190142,Polling,44.6,44.3,44.3,9190142
09190143,Prem,45.8,46.1,45.7,9190143
09190144,Raisting,44.7,44.1,43.9,9190144
09190145,Rottenbuch,43.1,43.5,43,9190145
09190148,Schongau.St,44.4,44.3,44.2,9190148
09190149,Schwabbruck,41.8,42.4,42,9190149
09190151,Schwabsoien,42.1,41.8,41.9,9190151
09190152,Seeshaupt,48.1,47.9,47.5,9190152
09190153,Sindelsdorf,43.1,43,42.9,9190153
09190154,Steingaden,44.2,44.4,44.1,9190154
09190157,Weilheimi.OB.St,45.8,45.8,45.6,9190157
09190158,Wessobrunn,42.6,42.4,42.4,9190158
09190159,Wielenbach,44.6,44.4,44.4,9190159
09190160,Wildsteig,42.4,42.3,42.1,9190160
09271111,Aholming,45.2,44.8,45.2,9271111
09271113,Auerbach,42.4,42.2,42.1,9271113
09271114,Außernzell,42.1,41.5,41.4,9271114
09271116,Bernried,44.9,44.7,44.8,9271116
09271118,Buchhofen,44.8,45.3,45.3,9271118
09271119,Deggendorf.GKSt,44.5,44.4,44.3,9271119
09271122,Grafling,44.7,44.6,44.5,9271122
09271123,Grattersdorf,44.9,45,44.7,9271123
09271125,Hengersberg.M,43.6,43.4,43.1,9271125
09271126,Hunding,45.5,44.8,44.1,9271126
09271127,Iggensbach,44.1,44.1,44.3,9271127
09271128,Künzing,45.9,45.9,45.7,9271128
09271130,Lalling,44.5,44.5,44.5,9271130
09271132,Metten.M,45.5,45.1,45.1,9271132
09271135,Moos,43.9,43.8,43.6,9271135
09271138,Niederalteich,43,43.1,43.1,9271138
09271139,Oberpöring,43.9,43.5,43.8,9271139
09271140,Offenberg,43.6,43.1,42.7,9271140
